kodikos,perigrafi,price,stock_softone,promitheftis,category,kathgoria,photo_url,container,q
L3261B,I162 ΣΠΟΤ ΟΡΟΦΗΣ ΕΞΩΤΕΡΙΚΟΥ ΧΩΡΟΥ 63Χ160ΜΜ 5W IP65 ΘΕΡΜΟ ΛΕΥΚΟ,42,,I162,ΦΩΤΑ,ΦΩΤΑ,https://cdn.jsdelivr.net/gh/adenadoume/erp-equipment-reservations@main/catalog-images/L3261B.png,,0
L3261W,I162 ΣΠΟΤ ΟΡΟΦΗΣ ΕΞΩΤΕΡΙΚΟΥ ΧΩΡΟΥ 63Χ160ΜΜ 5W IP65 ΘΕΡΜΟ ΛΕΥΚΟ,42,,I162,ΦΩΤΑ,ΦΩΤΑ,https://cdn.jsdelivr.net/gh/adenadoume/erp-equipment-reservations@main/catalog-images/L3261W.png,,0
L3262,I211 ΣΠΟΤ ΕΞΩΤΕΡΙΚΟΥ ΧΩΡΟΥ/ΚΗΠΟΥ IP65 ΜΕ ΛΑΜΠΑ LED 5W 3000K,45,499,I211,ΦΩΤΑ,ΦΩΤΑ,https://cdn.jsdelivr.net/gh/adenadoume/erp-equipment-reservations@main/catalog-images/L3262.png,,499
L3263W,I59 ΣΠΟΤ ΟΡΟΦΗΣ ΑΔΙΑΒΡΟΧΟ (ΟΠΗ 60MM),25,348,I59,ΦΩΤΑ,ΦΩΤΑ,https://cdn.jsdelivr.net/gh/adenadoume/erp-equipment-reservations@main/catalog-images/L3263W.png,,346
L3264,I59 ΣΠΟΤ ΟΡΟΦΗΣ (ΟΠΗ 60MM),0,30,I59,ΦΩΤΑ,ΦΩΤΑ,https://cdn.jsdelivr.net/gh/adenadoume/erp-equipment-reservations@main/catalog-images/L3264.png,,30
L3265.1B,I59 ΕΞΩΤΕΡΙΚΟ ΣΠΟΤ ΟΡΟΦΗΣ 5W 65Χ88MM IP65 ΘΕΡΜΟ ΛΕΥΚΟ,0,130,I59,ΦΩΤΑ,ΦΩΤΑ,https://cdn.jsdelivr.net/gh/adenadoume/erp-equipment-reservations@main/catalog-images/L3265.1B.png,,130
L3265.1W,I59 ΕΞΩΤΕΡΙΚΟ ΣΠΟΤ ΟΡΟΦΗΣ 5W 65Χ88MM IP65 ΘΕΡΜΟ ΛΕΥΚΟ,0,57,I59,ΦΩΤΑ,ΦΩΤΑ,https://cdn.jsdelivr.net/gh/adenadoume/erp-equipment-reservations@main/catalog-images/L3265.1W.png,,57
L3265.2B,I59 ΕΞΩΤΕΡΙΚΟ ΣΠΟΤ ΟΡΟΦΗΣ 5W 112X90MM IP65 ΘΕΡΜΟ ΛΕΥΚΟ,0,50,I59,ΦΩΤΑ,ΦΩΤΑ,https://cdn.jsdelivr.net/gh/adenadoume/erp-equipment-reservations@main/catalog-images/L3265.2B.png,,50
L3265.2W,I59 ΕΞΩΤΕΡΙΚΟ ΣΠΟΤ ΟΡΟΦΗΣ 5W 112X90MM IP65 ΘΕΡΜΟ ΛΕΥΚΟ,0,46,I59,ΦΩΤΑ,ΦΩΤΑ,https://cdn.jsdelivr.net/gh/adenadoume/erp-equipment-reservations@main/catalog-images/L3265.2W.png,,46
L3266B,I59 ΣΠΟΤ ΟΡΟΦΗΣ ΕΣΩΤΕΡΙΚΟΥ ΧΩΡΟΥ 5W 65Χ88MM ΘΕΡΜΟ ΛΕΥΚΟ,0,50,I59,ΦΩΤΑ,ΦΩΤΑ,https://cdn.jsdelivr.net/gh/adenadoume/erp-equipment-reservations@main/catalog-images/L3266B.png,,50
L3266W,I59 ΣΠΟΤ ΟΡΟΦΗΣ ΕΣΩΤΕΡΙΚΟΥ ΧΩΡΟΥ 5W 65Χ88MM ΘΕΡΜΟ ΛΕΥΚΟ,0,47,I59,ΦΩΤΑ,ΦΩΤΑ,https://cdn.jsdelivr.net/gh/adenadoume/erp-equipment-reservations@main/catalog-images/L3266W.png,,47
L3267W,I59 ΣΠΟΤ ΟΡΟΦΗΣ ΕΣΩΤΕΡΙΚΟΥ ΧΩΡΟΥ 7W 65X75MM IP44 ΘΕΡΜΟ ΛΕΥΚΟ,0,29,I59,ΦΩΤΑ,ΦΩΤΑ,https://cdn.jsdelivr.net/gh/adenadoume/erp-equipment-reservations@main/catalog-images/L3267W.png,,29
L3268,I59 ΠΡΟΒΟΛΕΑΣ 20W 20X19.5X27CM ΔΕΣΜΗ: 120ο ΜΠΑΤΑΡΙΑ: 18650 13200MA ΧΡΟΝΟΣ ΛΕΙΤΟΥΡΓΙΑΣ: 3 ΩΡΕΣ ΧΡΟΝΟΣ ΦΟΡΤΙΣΗΣ: 5-6 ΩΡΕΣ IP65,0,17,I59,ΦΩΤΑ,ΦΩΤΑ,https://cdn.jsdelivr.net/gh/adenadoume/erp-equipment-reservations@main/catalog-images/L3268.png,,17
L3269W,I59 ΕΞΩΤΕΡΙΚΗ ΧΩΝΕΥΤΗ ΑΠΛΙΚΑ 2W 105Χ60MM IP66 ΘΕΡΜΟ ΛΕΥΚΟ,0,11,I59,ΦΩΤΑ,ΦΩΤΑ,https://cdn.jsdelivr.net/gh/adenadoume/erp-equipment-reservations@main/catalog-images/L3269W.png,,9
L3270W,I59 ΕΞΩΤΕΡΙΚΗ ΧΩΝΕΥΤΗ ΑΠΛΙΚΑ 5W 210Χ60MM IP66 ΘΕΡΜΟ ΛΕΥΚΟ 5W,0,250,I59,ΦΩΤΑ,ΦΩΤΑ,https://cdn.jsdelivr.net/gh/adenadoume/erp-equipment-reservations@main/catalog-images/L3270W.png,,248
L3271W,"I59 SOLAR LIGHT ΑΛΟΥΜΙΝΙΟΥ 100W IP65"" ΨΥΧΡΟ ΛΕΥΚΟ",0,,I59,ΦΩΤΑ,ΦΩΤΑ,https://cdn.jsdelivr.net/gh/adenadoume/erp-equipment-reservations@main/catalog-images/L3271W.png,,0
L3272.1W,I59 ΠΡΟΒΟΛΕΑΣ ΕΞΩΤΕΡΙΚΟΥ ΧΩΡΟΥ 10W IP65,0,,I59,ΦΩΤΑ,ΦΩΤΑ,https://cdn.jsdelivr.net/gh/adenadoume/erp-equipment-reservations@main/catalog-images/L3272.1W.png,,0
L3272.2W,I59 ΠΡΟΒΟΛΕΑΣ ΕΞΩΤΕΡΙΚΟΥ ΧΩΡΟΥ 20W IP65,0,,I59,ΦΩΤΑ,ΦΩΤΑ,https://cdn.jsdelivr.net/gh/adenadoume/erp-equipment-reservations@main/catalog-images/L3272.2W.png,,0
L3272.3W,I59 ΠΡΟΒΟΛΕΑΣ ΕΞΩΤΕΡΙΚΟΥ ΧΩΡΟΥ 50W IP65,0,,I59,ΦΩΤΑ,ΦΩΤΑ,https://cdn.jsdelivr.net/gh/adenadoume/erp-equipment-reservations@main/catalog-images/L3272.3W.png,,0
L3273B,I59 SOLAR LIGHT ΚΗΠΟΥ 4W ΜΕ ΚΑΡΦΙ 280Χ330ΜΜ IP65 ΘΕΡΜΟ ΛΕΥΚΟ,0,474,I59,ΦΩΤΑ,ΦΩΤΑ,https://cdn.jsdelivr.net/gh/adenadoume/erp-equipment-reservations@main/catalog-images/L3273B.png,,474
L3274,I59 ΗΛΙΑΚΟΣ ΠΡΟΒΟΛΕΑΣ ΑΛΟΥΜΙΝΙΟΥ 360Χ400Χ17ΜM 15W IP65,0,,I59,ΦΩΤΑ,ΦΩΤΑ,https://cdn.jsdelivr.net/gh/adenadoume/erp-equipment-reservations@main/catalog-images/L3274.png,,0
L3275,I59 ΗΛΙΑΚΟΣ ΠΡΟΒΟΛΕΑΣ 200Χ390Χ54ΜΜ 20W IP65 ΕΥΡΟΣ ΦΩΤΙΣΜΟΥ 20Μ2/3-4Μ ΥΨΟΣ,0,,I59,ΦΩΤΑ,ΦΩΤΑ,https://cdn.jsdelivr.net/gh/adenadoume/erp-equipment-reservations@main/catalog-images/L3275.png,,0
L3276,I59 ΣΤΗΛΗ ΣΤΗΡΙΞΗΣ ΜΗΚΟΥΣ 50CM ME ΣΥΝΔΕΣΜΟΥΣ,0,,I59,ΦΩΤΑ,ΦΩΤΑ,https://cdn.jsdelivr.net/gh/adenadoume/erp-equipment-reservations@main/catalog-images/L3276.png,,0
L3277,I59 ΗΛΙΑΚΟΣ ΠΡΟΒΟΛΕΑΣ ΑΛΟΥΜΙΝΙΟΥ 500Χ210Χ90ΜM 10W IP65 ΕΥΡΟΣ ΦΩΤΙΣΜΟΥ 120Μ2/4-6Μ ΥΨΟΣ,0,,I59,ΦΩΤΑ,ΦΩΤΑ,https://cdn.jsdelivr.net/gh/adenadoume/erp-equipment-reservations@main/catalog-images/L3277.png,,0
L3278,I59 ΣΤΗΛΗ ΣΤΗΡΙΞΗΣ ΜΗΚΟΥΣ 50CM ME ΣΥΝΔΕΣΜΟΥΣ,0,,I59,ΦΩΤΑ,ΦΩΤΑ,https://cdn.jsdelivr.net/gh/adenadoume/erp-equipment-reservations@main/catalog-images/L3278.png,,0
L3279W,I59 ΑΠΛΙΚΑ ΕΠΙΤΟΙΧΙΑ ΕΞΩΤΕΡΙΚΟΥ ΧΩΡΟΥ 5W DOWN LIGHT65X82X150MM IP65 ΘΕΡΜΟ ΛΕΥΚΟ,0,31,I59,ΦΩΤΑ,ΦΩΤΑ,https://cdn.jsdelivr.net/gh/adenadoume/erp-equipment-reservations@main/catalog-images/L3279W.png,,27
L3280B,I59 ΑΠΛΙΚΑ ΕΠΙΤΟΙΧΙΑ ΕΞΩΤΕΡΙΚΟΥ ΧΩΡΟΥ 5W UP AND DOWN LIGHT100X100X80MM IP65 ΘΕΡΜΟ ΛΕΥΚΟ,35,67,I59,ΦΩΤΑ,ΦΩΤΑ,https://cdn.jsdelivr.net/gh/adenadoume/erp-equipment-reservations@main/catalog-images/L3280B.png,,67
L3280W,I59 ΑΠΛΙΚΑ ΕΠΙΤΟΙΧΙΑ ΕΞΩΤΕΡΙΚΟΥ ΧΩΡΟΥ 5W UP AND DOWN LIGHT100X100X80MM IP65 ΘΕΡΜΟ ΛΕΥΚΟ,35,77,I59,ΦΩΤΑ,ΦΩΤΑ,https://cdn.jsdelivr.net/gh/adenadoume/erp-equipment-reservations@main/catalog-images/L3280W.png,,77
L3281B,I59 ΑΠΛΙΚΑ ΤΟΙΧΟΥ ΕΣΩΤΕΡΙΚΟΥ ΧΩΡΟΥ ΕΝΤΟΙΧΙΣΜΕΝΗ 170Χ70Χ35 IP44 ΘΕΡΜΟ ΛΕΥΚΟ,70,37,I59,ΦΩΤΑ,ΦΩΤΑ,https://cdn.jsdelivr.net/gh/adenadoume/erp-equipment-reservations@main/catalog-images/L3281B.png,,37
L3282B,I59 ΑΠΛΙΚΑ ΤΟΙΧΟΥ ΕΣΩΤΕΡΙΚΟΥ ΧΩΡΟΥ 240Χ85ΜΜ IP44 ΘΕΡΜΟ ΛΕΥΚΟ,0,13,I59,ΦΩΤΑ,ΦΩΤΑ,https://cdn.jsdelivr.net/gh/adenadoume/erp-equipment-reservations@main/catalog-images/L3282B.png,,13
L3283W,I59 ΑΠΛΙΚΑ ΤΟΙΧΟΥ ΕΣΩΤΕΡΙΚΟΥ ΧΩΡΟΥ 240Χ85ΜΜ IP44 ΘΕΡΜΟ ΛΕΥΚΟ,0,17,I59,ΦΩΤΑ,ΦΩΤΑ,https://cdn.jsdelivr.net/gh/adenadoume/erp-equipment-reservations@main/catalog-images/L3283W.png,,17
L3284B,I59 ΑΠΛΙΚΑ ΤΟΙΧΟΥ ΕΣΩΤΕΡΙΚΟΥ ΧΩΡΟΥ 6W UP AND DOWN LIGHT 80X60X35MM IP44 ΘΕΡΜΟ ΛΕΥΚΟ,0,34,I59,ΦΩΤΑ,ΦΩΤΑ,https://cdn.jsdelivr.net/gh/adenadoume/erp-equipment-reservations@main/catalog-images/L3284B.png,,34
L3285B,I59 ΑΠΛΙΚΑ ΤΟΙΧΟΥ ΕΣΩΤΕΡΙΚΟΥ ΧΩΡΟΥ 5W 150X150X50MM IP44 ΘΕΡΜΟ ΛΕΥΚΟ,0,47,I59,ΦΩΤΑ,ΦΩΤΑ,https://cdn.jsdelivr.net/gh/adenadoume/erp-equipment-reservations@main/catalog-images/L3285B.png,,47
L3286G,I162 ΑΠΛΙΚΑ ΕΠΙΤΟΙΧΙΑ ΕΞΩΤΕΡΙΚΟΥ ΧΩΡΟΥ 150ΜΜ 10W IP65 ΘΕΡΜΟ ΛΕΥΚΟ,35,109,I162,ΦΩΤΑ,ΦΩΤΑ,https://cdn.jsdelivr.net/gh/adenadoume/erp-equipment-reservations@main/catalog-images/L3286G.png,,109
