Code_,Name,Quantity reserved,OIK,Date,MASTER CODES,KODIKOS (from MASTER CODES),DESCRIPTION,Photo,EDIT BY,REMAINING,CATEGORY (from MASTER CODES),Created
ZBATH005.2,NIKI,"5,0",OIK105,4/11/2025,ZBATH005.2,ZBATH005.2,I165 CONCEALED BASIN MIXER 210mm,image.png (https://v5.airtableusercontent.com/v3/u/55/55/1785175200000/XHytqgWOftgNhJmZ_YVhPg/TWgITW3iQgTkAk012oKOBNokEUHLHLGQ2RibSHmG0xDdjEJMH7GBVEeRTnXc_pQtGUBI-wzGI1n_u4cbXv5JC2QR8EbV6e2UYdmdCQ9KOs3xumGQ6GelsEOIp7_CKAp4O2hJ3ajOeVSpd8NlN9eICQ/n3ikfvQzUpRZy9At-cJ8rDhzr4DS5ijTc-c-Br2jNGg),,"31,0",ΜΠΑΝΙΟ,11/4/2025 3:50pm
ZBATH005.2,NIKI,"10,0",OIK5.11.1,,ZBATH005.2,ZBATH005.2,I165 CONCEALED BASIN MIXER 210mm,image.png (https://v5.airtableusercontent.com/v3/u/55/55/1785175200000/XHytqgWOftgNhJmZ_YVhPg/TWgITW3iQgTkAk012oKOBNokEUHLHLGQ2RibSHmG0xDdjEJMH7GBVEeRTnXc_pQtGUBI-wzGI1n_u4cbXv5JC2QR8EbV6e2UYdmdCQ9KOs3xumGQ6GelsEOIp7_CKAp4O2hJ3ajOeVSpd8NlN9eICQ/n3ikfvQzUpRZy9At-cJ8rDhzr4DS5ijTc-c-Br2jNGg),,"31,0",ΜΠΑΝΙΟ,11/4/2025 3:49pm
ZBATH005.2,NIKI,"50,0",OIK105,4/11/2025,ZBATH005.2,ZBATH005.2,I165 CONCEALED BASIN MIXER 210mm,image.png (https://v5.airtableusercontent.com/v3/u/55/55/1785175200000/XHytqgWOftgNhJmZ_YVhPg/TWgITW3iQgTkAk012oKOBNokEUHLHLGQ2RibSHmG0xDdjEJMH7GBVEeRTnXc_pQtGUBI-wzGI1n_u4cbXv5JC2QR8EbV6e2UYdmdCQ9KOs3xumGQ6GelsEOIp7_CKAp4O2hJ3ajOeVSpd8NlN9eICQ/n3ikfvQzUpRZy9At-cJ8rDhzr4DS5ijTc-c-Br2jNGg),,"31,0",ΜΠΑΝΙΟ,11/4/2025 3:48pm
B4080.2,ELLI,"13,0",OIK109,,B4080.2,B4080.2,I149 ΓΡΑΜΜΙΚΟ ΣΙΦΩΝΙ ΔΑΠΕΔΟΥ 60CM,image.png (https://v5.airtableusercontent.com/v3/u/55/55/1785175200000/Iq6JJnfDuSvzfWr4VGRrqQ/-cbIYQJ4z3lvpaVsWhM4APMCHFPTqCYs-sNyrjj9WPeNh-SGcUIzfsotPn4vFasQvJq9CyVagsSILtT_HqYc5mcOAovbAev4aHi1VfVxGVPVA2UMT6jLhaHou51EK0JhZ2CGDUMScc0o3M1f-3N4YQ/s9Rw0BYTlOcNLAYK6QBTf9XjtmiCmElVMAAZfdHTkPU),,"26,0",ΜΠΑΝΙΟ,11/4/2025 3:48pm
ZBATH004,ELLI,"2,0",OIK102,,ZBATH004,ZBATH004,I258 WALL HUNG TOILET'S UF SEAT COVER,image.png (https://v5.airtableusercontent.com/v3/u/55/55/1785175200000/1MjTWIZhCaL95MliUHniQw/yjXjJcDqO8weOONiyagUKa0ObtnOMQWmukoDnScofH4X-WDYHwtooInEY3mbQVyVpD5vUhwJg9y3REn2PXGq-dOh7g06pGBFYpXcwMePItTszo9-DYtnySzbK0yZxZDNr5ZgEnlZU34_K5O3-raNBQ/WPIxwMaAIXs8irjzHjAGLnepUMWObJEhB-Czme1WyFk),,"84,0",ΜΠΑΝΙΟ,11/4/2025 3:43pm
ZBATH001,ELLI,"2,0",OIK102,,ZBATH001,ZBATH001, I258 WALL HUNG TOILET UF SEAT COVER P-TRAP180MM RIMLESS 490X360X360MM ,image.png (https://v5.airtableusercontent.com/v3/u/55/55/1785175200000/97PEZ-QqWfpRu13VqHa5cg/xBeLViCEVYG5b3Etr6gXZ3-71IuTuWjYbMuqQv1I1rk9xKLNHZ-pMwdd3TpyYI-E1dd8Kr2C7dgroQ-K7lc-H0GM8FE_UrUyTfLpt9DPV6rGwGMrITsMhL4Jd3sDelvMEIpa0TQ-NqR0dsRXqAKUoA/06kx7rp_Gs90yT86Jhs4TbkKbx7c-YZZnMpdXQiHE2o),,"47,0",ΜΠΑΝΙΟ,11/4/2025 3:42pm
ZBATH022B,ELLI,"2,0",OIK102,,ZBATH022B,ZBATH022B,I258 SPARE ABS  BLACK BUTTON FOR HIDDEN WATER TANK ZBATH003 ,image.png (https://v5.airtableusercontent.com/v3/u/55/55/1785175200000/2rb3owf3ZQrDUjaOkh7FCQ/C0T_6N17gRSi28uF0nzD36_IB8veKL5_1G8TSCV1MXM-ZIPAgaEjD12J5XNRm3XOHHs3Lo7IIJlBQk3R5ktGdqiV36TOQ8iQrcJkLPcdmNRx_jXGENB3Nl9E6odgdznyCdCAvulj1oK3flVY1anRnA/Bw4ipcVgCP6PZ17l_IjQRQj98hgsA35nml-NupSMPEo),,"18,0",ΜΠΑΝΙΟ,11/4/2025 3:42pm
ZBATH003W,ELLI,"2,0",OIK102,,ZBATH003W,ZBATH003W,I258 HIDDEN WATER TANK WITH ABS WHITE BUTTON 1080X510X80MM ,image.png (https://v5.airtableusercontent.com/v3/u/55/55/1785175200000/qUWQgdn8u-1fYOAkV-_0fQ/o5dm_H1uumMuBPtzryaa45yATmao8wKjQTjfZfsRT54yS6O4qkFdk-IMcC1nmGPkNceQOm8Le0_W4edbGM_npNTCFNhEJK5imLxrdDQcqYRSWbmqbztjPcsRQghnC7YFMGbODtiHre0_k9oZeoLvsw/uZ0lgyy_Q6cg9pKozN4yPtD6bGVdyg83wH01e3eeaLc),,"50,0",ΜΠΑΝΙΟ,11/4/2025 3:42pm
ZBATH003W,ELLI,"14,0",OIK109,,ZBATH003W,ZBATH003W,I258 HIDDEN WATER TANK WITH ABS WHITE BUTTON 1080X510X80MM ,image.png (https://v5.airtableusercontent.com/v3/u/55/55/1785175200000/qUWQgdn8u-1fYOAkV-_0fQ/o5dm_H1uumMuBPtzryaa45yATmao8wKjQTjfZfsRT54yS6O4qkFdk-IMcC1nmGPkNceQOm8Le0_W4edbGM_npNTCFNhEJK5imLxrdDQcqYRSWbmqbztjPcsRQghnC7YFMGbODtiHre0_k9oZeoLvsw/uZ0lgyy_Q6cg9pKozN4yPtD6bGVdyg83wH01e3eeaLc),,"50,0",ΜΠΑΝΙΟ,11/4/2025 3:38pm
ZBATH004,ELLI,"14,0",OIK109,,ZBATH004,ZBATH004,I258 WALL HUNG TOILET'S UF SEAT COVER,image.png (https://v5.airtableusercontent.com/v3/u/55/55/1785175200000/1MjTWIZhCaL95MliUHniQw/yjXjJcDqO8weOONiyagUKa0ObtnOMQWmukoDnScofH4X-WDYHwtooInEY3mbQVyVpD5vUhwJg9y3REn2PXGq-dOh7g06pGBFYpXcwMePItTszo9-DYtnySzbK0yZxZDNr5ZgEnlZU34_K5O3-raNBQ/WPIxwMaAIXs8irjzHjAGLnepUMWObJEhB-Czme1WyFk),,"84,0",ΜΠΑΝΙΟ,11/4/2025 3:35pm
ZBATH001,ELLI,"14,0",OIK109,,ZBATH001,ZBATH001, I258 WALL HUNG TOILET UF SEAT COVER P-TRAP180MM RIMLESS 490X360X360MM ,image.png (https://v5.airtableusercontent.com/v3/u/55/55/1785175200000/97PEZ-QqWfpRu13VqHa5cg/xBeLViCEVYG5b3Etr6gXZ3-71IuTuWjYbMuqQv1I1rk9xKLNHZ-pMwdd3TpyYI-E1dd8Kr2C7dgroQ-K7lc-H0GM8FE_UrUyTfLpt9DPV6rGwGMrITsMhL4Jd3sDelvMEIpa0TQ-NqR0dsRXqAKUoA/06kx7rp_Gs90yT86Jhs4TbkKbx7c-YZZnMpdXQiHE2o),,"47,0",ΜΠΑΝΙΟ,11/4/2025 3:34pm
B4053B,ELLI,"2,0",OIK102,,B4053B,B4053B,I135 Bottle trap Matt Black P102 01 12 1,image.png (https://v5.airtableusercontent.com/v3/u/55/55/1785175200000/7NcfPwbfm81ArICtrOi3Kg/icpAwGOUnVexkpfpftmXsl-dwgpggkvNyJRYFu5jPBaD54kLCLLHqEC7la9oLVlgR1UkoDTXO2resUbzPGlU31544YjwXvTJllaYHDN0Jyd9MkxBSQwOkfXTgLtd9l85zKwxi0u-BLrvthBi7KMYDw/SXELnnP0HnoiVCnvpP1x0D7yifXc8EqFImsQ1r2_DO4),,"109,0",ΜΠΑΝΙΟ,11/4/2025 2:31pm
B4052B,ELLI,"2,0",OIK102,,B4052B,B4052B,I135 Pop - Up Drain Matt Black D101 01 12 1,image.png (https://v5.airtableusercontent.com/v3/u/55/55/1785175200000/hf83SzVg4FM8u8_jN3oNfg/HQ-AKbj0GpPmLj9GfJ2zEcIXzFDUJzT7rldyz5nQYg_DEDov-dYy-RoCfDEMV17-7uaBOmoLlQ5k14qr4YLZ8-Fay_NJJEhyfPUQt4hVKEZ59RMSKEDrtxWHfuLiLPsz90FBuAWTSfujcJ8k2VqwEA/MeDkZZyoBRIcMT48bQicKXdWwft4idmpXB7wHRKMaz4),,"103,0",ΜΠΑΝΙΟ,11/4/2025 2:30pm
B4050B,ELLI,"2,0",OIK102,,B4050B,B4050B,I135 Bidet sprayer set Matt Black AC218 03 15 2,image.png (https://v5.airtableusercontent.com/v3/u/55/55/1785175200000/4_NHW_q7xwAgbJnnaedMYQ/fk13lRqHj-EqXpbs6MWBjl2ENwjOMSTbsZ2s7or_UHvTUe-N9Kj2ECZNibiVt48N1EBTGHWhBhPjQZ12eOZCFfeGKNfFXTN9RVphkDgd2oIVV5IN3xyCZlhJpXCBXAIWmG7JtUYj6ruLLEhCZqOw-Q/KplLEnN_iG2oQ9KpJpynHAl2J-MSR8zdVJj1ZbnGZSg),,"48,0",ΜΠΑΝΙΟ,11/4/2025 2:30pm
A7642BB,ELINA,"6,0",CLIENT,30/9/2025,A7642BB,A7642BB,I107 WOODEN FAN ceiling BLACK blades BLACK motor,image.png (https://v5.airtableusercontent.com/v3/u/55/55/1785175200000/Ln1Xp1q3sKRIxXR7a9ATSw/o9IFJOfzouuWaKkzUXYAmN__Twqq5Xyj2gJsW7AaBXrjMIgtnzrL97W-Msas3ZrZVaPWWD0wK8paP5VLsEn5CKIk-hXjg7iL0CgYFCKImYjJxWFeXcVqMbYnq47A4bnhAGnWje0Z08ApAsB9xPkr9A/iNlR5w6t-dgtriMxkVqrg17gXp9skd6cJQ9ITtrxe0o),,"9,0",ΑΝΕΜΙΣΤΗΡΕΣ ΟΡΟΦΗΣ,9/18/2025 1:39pm
A7642BB,ELINA,"4,0",CLIENT,1/3/2026,A7642BB,A7642BB,I107 WOODEN FAN ceiling BLACK blades BLACK motor,image.png (https://v5.airtableusercontent.com/v3/u/55/55/1785175200000/Ln1Xp1q3sKRIxXR7a9ATSw/o9IFJOfzouuWaKkzUXYAmN__Twqq5Xyj2gJsW7AaBXrjMIgtnzrL97W-Msas3ZrZVaPWWD0wK8paP5VLsEn5CKIk-hXjg7iL0CgYFCKImYjJxWFeXcVqMbYnq47A4bnhAGnWje0Z08ApAsB9xPkr9A/iNlR5w6t-dgtriMxkVqrg17gXp9skd6cJQ9ITtrxe0o),,"9,0",ΑΝΕΜΙΣΤΗΡΕΣ ΟΡΟΦΗΣ,9/18/2025 1:29pm
A7642NW,NIKI,"10,0",OIK5.11.1,,A7642NW,A7642NW,I107 WOODEN FAN ceiling NATURAL blades WHITE motor,image.png (https://v5.airtableusercontent.com/v3/u/55/55/1785175200000/Nz5it-9xwjyjBpveJR3yUQ/LPaf12EOp4coeEg_jHVd6pHHpOQKSVm5-RQ-PTWEpwpKe6XzLRJ_BdunI4J9CW_A4RjKvcVBKIlD_LmaaAl1NRt5kkh3u0jh-xeO3Nekq1oHvS4Fr85yj3jmIwi8wgrMiAmuHUcs61gAbMps2GakrA/lY8K8wQMteyhIgtIeDDM8fiPEuXzzlVcCpJGP8xHMFY),NIKI,"-64,0",ΑΝΕΜΙΣΤΗΡΕΣ ΟΡΟΦΗΣ,7/18/2025 5:06pm
